,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
OSIS,221.38999938964844,51518785.32714844,1255,0.0,True,"OSI Systems, Inc.",Information Technology,small
GTES,27.979999542236328,51395008.15734863,1255,0.0,True,Gates Corporation,Industrials,small
MATX,202.58999633789062,51392836.94458008,1255,0.0,True,"Matson, Inc.",Industrials,small
ALGT,98.08000183105469,51338437.67623901,1255,0.0,True,Allegiant Travel Company,Industrials,small
HGV,46.13999938964844,51264044.24858093,1255,0.0,True,Hilton Grand Vacations,Consumer Discretionary,mid
RYN,21.780000686645508,51247019.15359497,1255,0.0,True,Rayonier,Real Estate,mid
SAM,183.1999969482422,51230834.74731445,1255,0.0,True,Boston Beer Company,Consumer Staples,mid
ORI,43.209999084472656,51044704.332351685,1255,0.0,True,Old Republic International,Financials,mid
UGI,36.119998931884766,50951377.66113281,1255,0.0,True,UGI Corp,Utilities,mid
BC,79.0,50949775.64086914,1255,0.0,True,Brunswick,Consumer Discretionary,mid
GPOR,161.3699951171875,50472862.451171875,1255,0.0,True,Gulfport Energy Corporation,Energy,small
OUT,31.8700008392334,50330995.347595215,1255,0.0,True,Outfront Media,Real Estate,small
SBRA,21.170000076293945,50213463.7802124,1255,0.0,True,Sabra Health Care REIT,Real Estate,mid
UFPT,254.77999877929688,50018726.51977539,1255,0.0,True,"UFP Technologies, Inc.",Health Care,small
STAG,38.2599983215332,49647525.98571777,1255,0.0,True,STAG Industrial,Real Estate,mid
RITM,9.880000114440918,49553580.25598526,1255,0.0,True,Rithm Capital,Financials,small
SXI,296.5,49464168.77441406,1255,0.0,True,Standex International Corporation,Industrials,small
AM,21.969999313354492,49373231.68029785,1255,0.0,True,Antero Midstream,Energy,mid
CPRI,15.930000305175781,49364253.61633301,1255,0.0,True,Capri Holdings,Consumer Discretionary,mid
TCBI,98.8499984741211,49233772.327423096,1255,0.0,True,Texas Capital Bancshares,Financials,mid
GBCI,49.290000915527344,49229889.09072876,1255,0.0,True,Glacier Bancorp,Financials,mid
WAY,21.110000610351562,49133099.058151245,538,0.0,True,Waystar Holding Corp,Health Care,small
ARCB,144.35000610351562,48915439.056396484,1255,0.0,True,ArcBest Corp.,Industrials,small
UNF,292.9800109863281,48644354.24194336,1255,0.0,True,UniFirst Corporation,Industrials,small
AESI,10.789999961853027,48583203.97453308,852,0.0,True,"Atlas Energy Solutions, Inc.",Energy,small
KD,13.550000190734863,48474475.0,1197,0.0,True,Kyndryl,Information Technology,mid
TDW,75.05999755859375,48373594.41604614,1255,0.0,True,"Tidewater, Inc.",Energy,small
FLO,7.019999980926514,48350085.548877716,1255,0.0,True,Flowers Foods,Consumer Staples,small
AIR,140.0399932861328,48225986.140441895,1255,0.0,True,AAR Corp.,Industrials,small
RXO,20.25,48215838.47579956,942,0.0,True,"RXO, Inc.",Industrials,small
EBC,22.959999084472656,48197909.83543396,1255,0.0,True,"Eastern Bankshares, Inc.",Financials,small
BCO,118.44999694824219,48194574.58496094,1255,0.0,True,Brink's,Industrials,mid
MTG,30.040000915527344,48112388.219833374,1255,0.0,True,MGIC Investment Corporation,Financials,mid
CC,16.610000610351562,48034350.82912445,1255,0.0,True,Chemours,Materials,small
LOPE,145.33999633789062,47962284.64050293,1255,0.0,True,Grand Canyon Education,Consumer Discretionary,mid
MSA,190.27000427246094,47868028.02276611,1255,0.0,True,MSA Safety,Industrials,mid
FHB,27.790000915527344,47634316.90864563,1255,0.0,True,"First Hawaiian, Inc.",Financials,small
PIPR,75.80000305175781,47533420.71228027,1255,0.0,True,Piper Sandler Companies,Financials,small
ASH,72.61000061035156,47454474.66659546,1255,0.0,True,Ashland Global,Materials,mid
SIGI,94.79000091552734,47445084.59320068,1255,0.0,True,Selective Insurance Group,Financials,mid
SLG,52.93000030517578,47317780.418395996,1255,0.0,True,SL Green Realty,Real Estate,small
STEP,43.86000061035156,47285466.65802002,1255,0.0,True,StepStone Group,Financials,small
OGS,77.6500015258789,46687971.867370605,1255,0.0,True,One Gas,Utilities,mid
ERIE,242.0399932861328,46546000.85449219,1255,0.0,True,Erie Indemnity,Financials,large
SXT,123.66999816894531,46530733.77532959,1255,0.0,True,Sensient Technologies,Materials,small
ADEA,26.649999618530273,46434856.557258606,1255,0.0,True,"Adeia, Inc.",Information Technology,small
ABG,231.6999969482422,46374851.54571533,1255,0.0,True,Asbury Automotive Group,Consumer Discretionary,small
UAA,6.650000095367432,46044373.45161438,1255,0.0,True,Under Armour (Class A),Consumer Discretionary,small
EEFT,71.33000183105469,46015841.17126465,1255,0.0,True,Euronet Worldwide,Financials,mid
DLB,58.810001373291016,45944240.714263916,1255,0.0,True,Dolby,Information Technology,mid
GEO,30.889999389648438,45644104.11262512,1255,0.0,True,"GEO Group, Inc.",Industrials,small
NSIT,128.92999267578125,45544740.5090332,1255,0.0,True,"Insight Enterprises, Inc.",Industrials,small
PSMT,193.91000366210938,45390905.73272705,1255,0.0,True,PriceSmart,Consumer Staples,small
CUZ,31.549999237060547,45025165.60077667,1255,0.0,True,Cousins Properties,Real Estate,mid
SHC,17.860000610351562,44921151.37863159,1255,0.0,True,Sotera Health,Health Care,mid
INSW,96.18000030517578,44835457.39746094,1255,0.0,True,"International Seaways, Inc.",Energy,small
DXC,11.239999771118164,44808955.531311035,1255,0.0,True,DXC Technology,Information Technology,small
HOMB,31.06999969482422,44780838.484954834,1255,0.0,True,Home BancShares,Financials,mid
APLE,16.510000228881836,44485913.468170166,1255,0.0,True,"Apple Hospitality REIT, Inc.",Real Estate,small
KNTK,50.56999969482422,44413176.9657135,1255,0.0,True,"Kinetik Holdings, Inc.",Energy,small
WERN,37.41999816894531,44321685.70480347,1255,0.0,True,Werner Enterprises,Industrials,small
VVX,90.23999786376953,43991562.19406128,1255,0.0,True,"V2X, Inc.",Industrials,small
INSP,50.209999084472656,43219440.51361084,1255,0.0,True,"Inspire Medical Systems, Inc.",Health Care,small
PPC,27.360000610351562,43034030.188179016,1255,0.0,True,Pilgrim's Pride,Consumer Staples,mid
AMR,137.16000366210938,42856948.85253906,1255,0.0,True,"Alpha Metallurgical Resources, Inc.",Materials,small
PATK,82.55000305175781,42759982.232666016,1255,0.0,True,"Patrick Industries, Inc.",Consumer Discretionary,small
CWEN,31.729999542236328,42354144.76776123,1255,0.0,True,"Clearway Energy, Inc. (Class C)",Utilities,small
IRT,16.6299991607666,42152848.05679321,1255,0.0,True,Independence Realty Trust,Real Estate,mid
SWX,89.4000015258789,42147341.30554199,1255,0.0,True,Southwest Gas Corp,Utilities,mid
ITGR,121.20999908447266,42008160.900878906,1255,0.0,True,Integer Holdings Corporation,Health Care,small
RDN,38.9900016784668,41937645.80535889,1255,0.0,True,"Radian Group, Inc.",Financials,small
LAUR,38.310001373291016,41933025.927734375,1255,0.0,True,"Laureate Education, Inc.",Consumer Discretionary,small
HIW,33.130001068115234,41889670.848083496,1255,0.0,True,Highwoods Properties,Real Estate,small
RDNT,63.779998779296875,41745815.56549072,1255,0.0,True,"RadNet, Inc.",Health Care,small
VAC,97.51000213623047,41704231.297302246,1255,0.0,True,Marriott Vacations Worldwide,Consumer Discretionary,small
REZI,34.29999923706055,41654100.0,1255,0.0,True,"Resideo Technologies, Inc.",Industrials,small
KAI,307.5,41595928.955078125,1255,0.0,True,Kadant Inc.,Industrials,small
CARG,36.2400016784668,41509025.36087036,1255,0.0,True,CarGurus,Communication Services,small
ZWS,50.5099983215332,41300906.563568115,1255,0.0,True,Zurn Elkay Water Solutions Corp.,Industrials,small
CBRL,56.38999938964844,41279916.53060913,1255,0.0,True,Cracker Barrel,Consumer Discretionary,small
RRR,64.44000244140625,41232469.07424927,1255,0.0,True,"Red Rock Resorts, Inc.",Consumer Discretionary,small
KNF,73.16999816894531,41060035.41641235,791,0.0,True,Knife River Corporation,Materials,mid
KALU,159.67999267578125,40900611.68670654,1255,0.0,True,Kaiser Aluminum Corporation,Materials,small
AZZ,144.72000122070312,40855729.37011719,1255,0.0,True,"AZZ, Inc.",Industrials,small
IPGP,85.05999755859375,40817139.41574097,1255,0.0,True,IPG Photonics,Information Technology,mid
PBI,17.530000686645508,40759864.11323547,1255,0.0,True,"Pitney Bowes, Inc.",Industrials,small
TPC,83.75,40476724.53918457,1255,0.0,True,Tutor Perini Corporation,Industrials,small
CRC,52.619998931884766,40443359.76409912,1255,0.0,True,California Resources Corporation,Energy,small
UFPI,86.73999786376953,40422107.582092285,1255,0.0,True,UFP Industries,Industrials,mid
ACIW,57.33000183105469,40390316.06140137,1255,0.0,True,ACI Worldwide,Information Technology,small
UBSI,48.45000076293945,40374000.549316406,1255,0.0,True,United Bankshares,Financials,mid
ESNT,65.95999908447266,40291445.95336914,1255,0.0,True,Essent Group Ltd.,Financials,mid
WHD,65.01000213623047,40189781.53839111,1255,0.0,True,"Cactus, Inc.",Energy,small
VCTR,99.02999877929688,40064973.891448975,1255,0.0,True,"Victory Capital Holdings, Inc.",Financials,small
SHOO,46.08000183105469,40001210.9954834,1255,0.0,True,"Steven Madden, Ltd.",Consumer Discretionary,small
FUN,17.329999923706055,39751799.60479736,1255,0.0,True,Six Flags,Consumer Discretionary,small
FUL,55.29999923706055,39681529.499816895,1255,0.0,True,H.B. Fuller Company,Materials,small
CBT,88.0199966430664,39622954.66003418,1255,0.0,True,Cabot Corp,Materials,mid
TRIP,14.170000076293945,39551488.475990295,1255,0.0,True,TripAdvisor,Communication Services,small
CALX,35.900001525878906,39549887.40234375,1255,0.0,True,Calix,Information Technology,small
SR,79.86000061035156,39440494.02694702,1255,0.0,True,Spire,Utilities,mid
PPLI,41.56999969482422,39297753.05252075,1255,0.0,True,People Inc.,Communication Services,small
HP,34.56999969482422,39210017.0501709,1255,0.0,True,"Helmerich & Payne, Inc.",Energy,small
FMC,10.710000038146973,39190473.771858215,1255,0.0,True,FMC Corporation,Materials,small
NWS,31.270000457763672,39003484.38796997,1255,0.0,True,News Corp (Class B),Communication Services,large
ICUI,168.50999450683594,38993200.0,1255,0.0,True,ICU Medical,Health Care,small
ATMU,51.630001068115234,38833925.12435913,797,0.0,True,Atmus Filtration Technologies Inc.,Industrials,small
FULT,24.329999923706055,38753562.60108948,1255,0.0,True,Fulton Financial Corporation,Financials,small
FIBK,38.02000045776367,38482876.205444336,1255,0.0,True,"First Interstate BancSystem, Inc.",Financials,small
NWL,5.599999904632568,38321922.422504425,1255,0.0,True,Newell Brands,Consumer Discretionary,small
FHI,59.959999084472656,38272312.58850098,1255,0.0,True,Federated Hermes,Financials,mid
PLAB,30.290000915527344,38257108.222961426,1255,0.0,True,"Photronics, Inc.",Information Technology,small
TDS,33.58000183105469,38237718.1388855,1255,0.0,True,"Telephone and Data Systems, Inc.",Communication Services,small
CHEF,115.3499984741211,38097774.143218994,1255,0.0,True,"Chefs' Warehouse, Inc.",Consumer Staples,small
GATX,178.8699951171875,38071050.0,1255,0.0,True,GATX,Industrials,mid
CVSA,124.8499984741211,37969586.055755615,1255,0.0,True,Covista Inc.,Consumer Discretionary,small
CSW,318.92999267578125,37935219.54345703,1255,0.0,True,"CSW Industrials, Inc.",Industrials,small
HAYW,15.130000114440918,37772545.22705078,1255,0.0,True,"Hayward Holdings, Inc.",Industrials,small
PEB,19.100000381469727,37710512.20417023,1255,0.0,True,Pebblebrook Hotel Trust,Real Estate,small
KMT,33.970001220703125,37710139.488220215,1255,0.0,True,Kennametal,Industrials,small
MMS,60.25,37681181.62536621,1255,0.0,True,Maximus Inc.,Industrials,mid
ATEN,29.56999969482422,37631887.50267029,1255,0.0,True,"A10 Networks, Inc.",Information Technology,small
CALY,18.459999084472656,37559521.09413147,1255,0.0,True,Callaway Golf Company,Consumer Discretionary,small
ABCB,87.20999908447266,37490981.788635254,1255,0.0,True,Ameris Bancorp,Financials,small
KN,36.59000015258789,37420522.99118042,1255,0.0,True,Knowles Corporation,Information Technology,small
BHE,79.7699966430664,37329658.37097168,1255,0.0,True,"Benchmark Electronics, Inc.",Information Technology,small
PECO,42.4900016784668,37196737.61062622,1255,0.0,True,Phillips Edison & Company,Real Estate,small
AUB,42.43000030517578,37152193.57910156,1255,0.0,True,"Atlantic Union Bankshares, Corp.",Financials,small
RAMP,37.869998931884766,37147483.65211487,1255,0.0,True,"LiveRamp Holdings, Inc.",Information Technology,small
CRK,13.260000228881836,36964948.9068985,1255,0.0,True,"Comstock Resources, Inc.",Energy,small
DNOW,14.119999885559082,36943410.52980423,1255,0.0,True,NOW Inc,Industrials,small
LCII,102.36000061035156,36720254.457855225,1255,0.0,True,LCI Industries,Consumer Discretionary,small
OII,48.779998779296875,36632794.29473877,1255,0.0,True,"Oceaneering International, Inc.",Energy,small
DAN,26.93000030517578,36558642.65899658,1255,0.0,True,Dana Incorporated,Consumer Discretionary,small
MZTI,106.87000274658203,36546548.56109619,1255,0.0,True,The Marzetti Company,Consumer Staples,mid
UTI,39.310001373291016,36523655.72471619,1255,0.0,True,Universal Technical Institute,Consumer Discretionary,small
EYE,22.040000915527344,35979245.446014404,1255,0.0,True,National Vision Holdings,Consumer Discretionary,small
OGN,13.550000190734863,35940575.898742676,1255,0.0,True,Organon & Co.,Health Care,small
SKYW,106.97000122070312,35931223.41003418,1255,0.0,True,"SkyWest, Inc.",Industrials,small
SLGN,39.97999954223633,35899337.084198,1255,0.0,True,Silgan Holdings,Materials,mid
BL,31.399999618530273,35897399.71160889,1255,0.0,True,"BlackLine Systems, Inc.",Information Technology,small
EPR,62.06999969482422,35776412.24441528,1255,0.0,True,EPR Properties,Real Estate,mid
HASI,37.869998931884766,35236636.42807007,1255,0.0,True,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,small
FTDR,72.62999725341797,35225784.173583984,1255,0.0,True,"Frontdoor, Inc.",Consumer Discretionary,small
SKT,40.65999984741211,35214324.46060181,1255,0.0,True,"Tanger Factory Outlet Centers, Inc.",Real Estate,small
QTWO,60.869998931884766,35174800.0,1255,0.0,True,"Q2 Holdings, Inc.",Information Technology,small
CXT,51.95000076293945,35064060.806274414,1255,0.0,True,Crane NXT,Information Technology,mid
PGNY,31.1299991607666,35063468.678855896,1255,0.0,True,"Progyny, Inc.",Health Care,small
ROG,123.47000122070312,35059500.0,1255,0.0,True,Rogers Corporation,Information Technology,small
TNDM,19.5,34778574.006557465,1255,0.0,True,Tandem Diabetes Care,Health Care,small
CNO,55.09000015258789,34591341.89529419,1255,0.0,True,CNO Financial Group,Financials,mid
BNL,21.40999984741211,34529165.54546356,1255,0.0,True,"Broadstone Net Lease, Inc.",Real Estate,small
BKU,46.650001525878906,34473631.09817505,1255,0.0,True,"BankUnited, Inc.",Financials,small
PDFS,46.09000015258789,34277276.876831055,1255,0.0,True,"PDF Solutions, Inc.",Information Technology,small
FBP,28.93000030517578,34132051.69048309,1255,0.0,True,First BanCorp (Puerto Rico),Financials,small
ACAD,25.8700008392334,34088915.409088135,1255,0.0,True,Acadia Pharmaceuticals,Health Care,small
MAN,52.41999816894531,34052913.315582275,1255,0.0,True,ManpowerGroup,Industrials,small
CNXC,24.600000381469727,33970422.440719604,1255,0.0,True,Concentrix,Industrials,small
CRI,38.56999969482422,33819229.60510254,1255,0.0,True,"Carter's, Inc.",Consumer Discretionary,small
OPLN,39.7599983215332,33311475.563049316,1255,0.0,True,"OPENLANE, Inc.",Industrials,small
AX,101.41000366210938,33194998.741149902,1255,0.0,True,"Axos Financial, Inc.",Financials,small
PRKS,44.630001068115234,32973044.248580933,1255,0.0,True,United Parks & Resorts,Consumer Discretionary,small
WSBC,41.380001068115234,32864832.38067627,1255,0.0,True,WesBanco,Financials,small
RUSHA,79.79000091552734,32844155.14755249,1255,0.0,True,Rush Enterprises,Industrials,small
NJR,57.88999938964844,32782215.482711792,1255,0.0,True,New Jersey Resources,Utilities,mid
DORM,133.16000366210938,32478664.85595703,1255,0.0,True,"Dorman Products, Inc.",Consumer Discretionary,small
EXPO,66.8499984741211,32343680.953979492,1255,0.0,True,"Exponent, Inc.",Industrials,mid
BGC,11.520000457763672,32290945.369148254,1255,0.0,True,"BGC Group, Inc.",Financials,small
BHF,61.90999984741211,32123520.78552246,1255,0.0,True,Brighthouse Financial,Financials,mid
PLMR,133.7899932861328,32116480.696105957,1255,0.0,True,"Palomar Holdings, Inc.",Financials,small
HUBG,46.529998779296875,32027454.794311523,1255,0.0,True,"Hub Group, Inc.",Industrials,small
SNDR,35.7400016784668,31889942.88749695,1255,0.0,True,Schneider National,Industrials,small
MDU,19.950000762939453,31838025.791931152,1255,0.0,True,"MDU Resources Group, Inc.",Utilities,small
BOH,79.9000015258789,31784220.60699463,1255,0.0,True,Bank of Hawaii,Financials,small
WSFS,80.19999694824219,31600800.0,1255,0.0,True,WSFS Financial Corporation,Financials,small
SPSC,73.38999938964844,31378320.819854736,1255,0.0,True,"SPS Commerce, Inc.",Information Technology,small
CVBF,22.3700008392334,31240251.314544678,1255,0.0,True,CVB Financial Corp.,Financials,small
GTM,3.299999952316284,31234656.816101074,1255,0.0,True,ZoomInfo,Communication Services,small
NHI,76.6500015258789,31228429.614257812,1255,0.0,True,"National Health Investors, Inc.",Real Estate,small
LIF,54.04999923706055,31073972.943115234,539,0.0,True,Life360,Information Technology,small
KFY,82.2699966430664,30822481.8069458,1255,0.0,True,Korn/Ferry International,Industrials,small
BCPC,167.55999755859375,30620400.0,1255,0.0,True,Balchem Corporation,Materials,small
GFF,86.16999816894531,30558972.92327881,1255,0.0,True,Griffon Corporation,Industrials,small
CDP,37.959999084472656,30453295.792770386,1255,0.0,True,COPT Defense Properties,Real Estate,mid
UCB,35.439998626708984,30432282.134246826,1255,0.0,True,"United Community Banks, Inc.",Financials,small
COLM,59.380001068115234,30362828.354644775,1255,0.0,True,Columbia Sportswear,Consumer Discretionary,mid
CXW,29.899999618530273,30141209.62486267,1255,0.0,True,CoreCivic,Industrials,small
WDFC,227.13999938964844,30135816.650390625,1255,0.0,True,WD-40 Company,Consumer Staples,small
MHO,146.1300048828125,30014208.984375,1255,0.0,True,"M/I Homes, Inc.",Consumer Discretionary,small
NWE,68.73999786376953,29771293.074798584,1255,0.0,True,NorthWestern Energy,Utilities,mid
AOSL,31.739999771118164,29763819.675445557,1255,0.0,True,"Alpha and Omega Semiconductor, Ltd.",Information Technology,small
AAMI,86.48999786376953,29701508.920288086,1255,0.0,True,Acadian Asset Management Inc.,Financials,small
SUPN,44.630001068115234,29515877.167510986,1255,0.0,True,"Supernus Pharmaceuticals, Inc.",Health Care,small
PZZA,29.899999618530273,29334658.657836914,1255,0.0,True,Papa John's Pizza,Consumer Discretionary,small
PBH,50.220001220703125,29286347.81112671,1255,0.0,True,Prestige Consumer Healthcare,Health Care,small
MWA,25.239999771118164,29202184.356689453,1255,0.0,True,Mueller Water Products,Industrials,small
GOLF,101.2699966430664,29038265.565490723,1255,0.0,True,Acushnet Company,Consumer Discretionary,small
NIC,170.9199981689453,28951196.786499023,1255,0.0,True,Nicolet Bankshares,Financials,small
PRGO,10.109999656677246,28789895.57800293,1255,0.0,True,Perrigo,Health Care,small
UPWK,9.15999984741211,28778425.911712646,1255,0.0,True,"Upwork, Inc.",Industrials,small
AMN,33.630001068115234,28663307.24544525,1255,0.0,True,"Amn Healthcare Services, Inc.",Health Care,small
AVNT,36.31999969482422,28364270.9941864,1255,0.0,True,Avient,Materials,mid
AKR,22.469999313354492,28314624.609375,1255,0.0,True,Acadia Realty Trust,Real Estate,small
FFBC,33.83000183105469,28151344.088745117,1255,0.0,True,First Financial Bancorp,Financials,small
CATY,63.189998626708984,28063532.621002197,1255,0.0,True,Cathay General Bancorp,Financials,small
FFIN,35.13999938964844,28010466.970825195,1255,0.0,True,First Financial Bankshares,Financials,mid
HCI,175.00999450683594,27904524.51324463,1255,0.0,True,"HCI Group, Inc.",Financials,small
APAM,39.2400016784668,27875143.186950684,1255,0.0,True,"Artisan Partners Asset Management, Inc.",Financials,small
KMPR,28.3799991607666,27873128.857803345,1255,0.0,True,Kemper Corporation,Financials,small
NTST,21.450000762939453,27783444.561958313,1255,0.0,True,NETSTREIT Corp.,Real Estate,small
RNST,43.56999969482422,27731925.0,1255,0.0,True,Renasant Corp.,Financials,small
AGYS,105.16000366210938,27627909.812927246,1255,0.0,True,"Agilysys, Inc.",Information Technology,small
HLIT,11.550000190734863,27604719.5854187,1255,0.0,True,Harmonic Inc.,Information Technology,small
AGO,82.72000122070312,27543034.113311768,1255,0.0,True,Assured Guaranty Ltd.,Financials,small
FELE,104.72000122070312,27495077.5932312,1255,0.0,True,Franklin Electric,Industrials,small
WKC,39.86000061035156,27412240.29521942,1255,0.0,True,World Kinect Corporation,Energy,small
BCC,76.37999725341797,27372472.760009766,1255,0.0,True,Boise Cascade,Industrials,small
AMRX,18.31999969482422,27181307.918930054,1255,0.0,True,Amneal Pharmaceuticals,Health Care,small
VRRM,5.289999961853027,27137285.389709473,1255,0.0,True,Verra Mobility Corporation,Industrials,small
CVI,35.619998931884766,27077272.957992554,1255,0.0,True,"CVR Energy, Inc.",Energy,small
LMAT,101.31999969482422,27076696.649169922,1255,0.0,True,LeMaitre Vascular,Health Care,small
NSP,50.61000061035156,27054299.58343506,1255,0.0,True,Insperity,Industrials,small
LPG,47.41999816894531,27016620.178222656,1255,0.0,True,Dorian LPG Ltd.,Energy,small
INDB,83.83000183105469,26826089.56222534,1255,0.0,True,Independent Bank Corp.,Financials,small
LFST,10.479999542236328,26823366.747379303,1255,0.0,True,Lifestance Health,Health Care,small
RCUS,28.190000534057617,26801235.708618164,1255,0.0,True,"Arcus Biosciences, Inc.",Health Care,small
MPT,4.630000114440918,26716339.446115494,1255,0.0,True,Medical Properties Trust,Real Estate,small
UNFI,50.83000183105469,26675692.614746094,1255,0.0,True,United Natural Foods Inc,Consumer Staples,small
DEI,11.819999694824219,26612782.4968338,1255,0.0,True,Douglas Emmett,Real Estate,small
YELP,26.43000030517578,26536612.614440918,1255,0.0,True,"Yelp, Inc.",Communication Services,small
ADMA,8.460000038146973,26165788.95664215,1255,0.0,True,"ADMA Biologics, Inc.",Health Care,small
MCY,107.12000274658203,26158640.991210938,1255,0.0,True,Mercury General,Financials,small
REYN,24.940000534057617,26083509.606933594,1255,0.0,True,Reynolds Consumer Products,Consumer Staples,small
TALO,15.180000305175781,25966054.1932106,1255,0.0,True,"Talos Energy, Inc.",Energy,small
ZD,53.08000183105469,25897927.515792847,1255,0.0,True,Ziff Davis,Communication Services,small
SMPL,10.180000305175781,25890149.34539795,1255,0.0,True,Simply Good Foods Company,Consumer Staples,small
EZPW,29.770000457763672,25761124.24621582,1255,0.0,True,"EZCORP, Inc.",Financials,small
SFNC,23.59000015258789,25666344.51599121,1255,0.0,True,Simmons First National Corporation,Financials,small
ENOV,29.149999618530273,25476349.336624146,1255,0.0,True,Enovis,Health Care,small
SBCF,34.7400016784668,25443666.050338745,1255,0.0,True,Seacoast Banking Corporation of Florida,Financials,small
DV,11.25,25416247.06773758,1255,0.0,True,DoubleVerify Holdings Inc.,Communication Services,small
PHIN,73.58999633789062,25370735.833740234,776,0.0,True,"PHINIA, Inc.",Consumer Discretionary,small
IPAR,124.55000305175781,25116689.937591553,1255,0.0,True,"Inter Parfums, Inc.",Consumer Staples,small
OMCL,35.369998931884766,25056402.6763916,1255,0.0,True,Omnicell,Health Care,small
HTO,61.33000183105469,25052577.224731445,1255,0.0,True,H2O America,Utilities,small
WRLD,179.80999755859375,25044809.489440918,1255,0.0,True,World Acceptance Corporation,Financials,small
GNW,9.829999923706055,24978191.14112854,1255,0.0,True,"Genworth Financial, Inc.",Financials,small
LEG,9.800000190734863,24962560.86215973,1255,0.0,True,Leggett & Platt,Consumer Discretionary,small
SONO,14.65999984741211,24933851.75704956,1255,0.0,True,"Sonos, Inc.",Consumer Discretionary,small
AVA,40.45000076293945,24766829.096984863,1255,0.0,True,Avista Corporation,Utilities,small
NATL,47.029998779296875,24327894.74143982,703,0.0,True,NCR Atleos,Financials,small
ECPG,94.08000183105469,24313140.983581543,1255,0.0,True,"Encore Capital Group, Inc.",Financials,small
ANIP,79.23999786376953,24284830.987548828,1255,0.0,True,"ANI Pharmaceuticals, Inc.",Health Care,small
CON,31.649999618530273,24191133.46710205,506,0.0,True,"Concentra Group Holdings Parent, Inc.",Health Care,small
PAYO,7.170000076293945,24160718.387794495,1255,0.0,True,Payoneer Global Inc.,Financials,small
HRMY,35.2400016784668,24035352.243041992,1255,0.0,True,"Harmony Biosciences Holdings, Inc.",Health Care,small
ALG,159.0800018310547,23996688.97705078,1255,0.0,True,Alamo Group,Industrials,small
TRN,31.239999771118164,23834221.06742859,1255,0.0,True,"Trinity Industries, Inc.",Industrials,small
DXPE,157.02000427246094,23789839.599609375,1255,0.0,True,"DXP Enterprises, Inc.",Industrials,small
PRVA,23.670000076293945,23696711.769104004,1255,0.0,True,"Privia Health Group, Inc.",Health Care,small
CWK,13.420000076293945,23656744.93455887,1255,0.0,True,Cushman & Wakefield plc,Real Estate,small
LXP,60.529998779296875,23622906.20880127,1255,0.0,True,Lexington Realty Trust,Real Estate,small
MBC,8.25,23614500.0,912,0.0,True,"MasterBrand, Inc.",Industrials,small
SHO,11.770000457763672,23599021.228027344,1255,0.0,True,"Sunstone Hotel Investors, Inc.",Real Estate,small
AWR,85.63999938964844,23298638.243865967,1255,0.0,True,American States Water Company,Utilities,small
FA,19.84000015258789,23261280.45272827,1255,0.0,True,First Advantage Corporation,Industrials,small
DRH,13.239999771118164,23180004.240989685,1255,0.0,True,DiamondRock Hospitality Company,Real Estate,small
HNI,45.0099983215332,23155227.170562744,1255,0.0,True,HNI Corporation,Industrials,small
CUBI,78.68000030517578,23092330.35507202,1255,0.0,True,"Customers Bancorp, Inc.",Financials,small
GO,9.1899995803833,23083291.727733612,1255,0.0,True,Grocery Outlet,Consumer Staples,small
NTCT,40.66999816894531,23067263.916015625,1255,0.0,True,"NETSCOUT Systems, Inc.",Information Technology,small
CERT,8.100000381469727,23063628.16886902,1255,0.0,True,"Certara, Inc.",Health Care,small
IBOC,76.54000091552734,23047085.06011963,1255,0.0,True,Intl Bancshares Corp,Financials,mid
ADUS,115.4800033569336,22931908.264160156,1255,0.0,True,Addus HomeCare Corp.,Health Care,small
TBBK,67.06999969482422,22832722.68447876,1255,0.0,True,"The Bancorp, Inc.",Financials,small
OI,7.150000095367432,22779540.382385254,1255,0.0,True,"O-I Glass, Inc.",Materials,small
ALRM,54.75,22693150.0,1255,0.0,True,"Alarm.Com, Inc.",Financials,small
NEO,15.289999961853027,22640903.16953659,1255,0.0,True,"NeoGenomics Laboratories, Inc.",Health Care,small
GSHD,62.0,22397300.0,1255,0.0,True,"Goosehead Insurance, Inc.",Financials,small
DBD,73.58999633789062,22386080.471801758,744,0.0,True,Diebold Nixdorf,Information Technology,small
BJRI,67.61000061035156,22343360.650634766,1255,0.0,True,"BJ's Restaurants, Inc.",Consumer Discretionary,small
PRDO,31.809999465942383,22146005.155944824,1255,0.0,True,Perdoceo Education Corp.,Consumer Discretionary,small
SAH,91.58000183105469,22134544.73876953,1255,0.0,True,"Sonic Automotive, Inc.",Consumer Discretionary,small
VCEL,45.959999084472656,22023407.711791992,1255,0.0,True,Vericel,Health Care,small
DCH,5.650000095367432,21992363.6592865,1255,0.0,True,Dauch Corporation,Consumer Discretionary,small
UNIT,9.720000267028809,21900960.736083984,1255,0.0,True,Uniti Group,Communication Services,small
DGII,69.72000122070312,21835000.0,1255,0.0,True,Digi International Inc.,Information Technology,small
ABR,5.010000228881836,21753600.0,1255,0.0,True,Arbor Realty Trust,Financials,small
HE,12.920000076293945,21725120.571231842,1255,0.0,True,"Hawaiian Electric Industries, Inc.",Utilities,small
NHC,226.02999877929688,21711251.07421875,1255,0.0,True,"National Healthcare, Corp.",Health Care,small
